Timestamp,System ON,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology
05/09/2024 01:15,False,21.78089491,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.006,True,False,Residential,"10.525053,7.417253",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 01:30,False,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.007,True,False,Residential,"10.525053,7.417254",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 01:45,False,21.88416359,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.008,True,False,Residential,"10.525053,7.417255",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 02:00,False,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.009,True,False,Residential,"10.525053,7.417256",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 02:15,False,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.01,True,False,Residential,"10.525053,7.417257",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 02:30,False,21.0,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.011,True,False,Residential,"10.525053,7.417258",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 02:45,False,21.63617254,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.012,True,False,Residential,"10.525053,7.417259",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 03:00,False,22.28304753,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.013,True,False,Residential,"10.525053,7.417260",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 03:15,False,22.01146793,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.014,True,False,Residential,"10.525053,7.417261",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
05/09/2024 03:30,False,21.36417398,0.0,0.0,0.294086023,90.0,0.0,False,220.0,0.0,0.9,0.015,True,False,Residential,"10.525053,7.417262",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion
