Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Solar Irradiance (W/m²),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology
01/12/2024 0:00,TRUE,01/12/2024 0:00,,34.05723914,0,0.399784018,0.575415924,0,90,,FALSE,220,1.817200083,0.9,0.001,FALSE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 0:15,TRUE,01/12/2024 0:15,,34.82144189,0,0.568575427,0.433272067,0,90,,FALSE,220,2.584433761,0.9,0.002,FALSE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 0:30,TRUE,01/12/2024 0:30,,30.71725164,0,0.486244372,0.311710974,0,90,,FALSE,220,2.210201692,0.9,0.003,FALSE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 0:45,TRUE,01/12/2024 0:45,,31.4393278,0,0.464529407,0.2,0,90,,FALSE,220,2.111497306,0.9,0.004,TRUE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 1:00,FALSE,,01/12/2024 1:00,34.19831862,0,0,0.2,0,90,,FALSE,220,0,0.9,0.005,TRUE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 1:15,FALSE,,01/12/2024 1:15,30.10704565,0,0,0.2,0,90,,FALSE,220,0,0.9,0.006,TRUE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 1:30,FALSE,,01/12/2024 1:30,30.48656868,0,0,0.2,0,90,,FALSE,220,0,0.9,0.007,TRUE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 1:45,FALSE,,01/12/2024 1:45,30.88675393,0,0,0.2,0,90,,FALSE,220,0,0.9,0.008,TRUE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 2:00,FALSE,,01/12/2024 2:00,30.29790611,0,0,0.2,0,90,,FALSE,220,0,0.9,0.009,TRUE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 2:15,FALSE,,01/12/2024 2:15,29.47865484,0,0,0.2,0,90,,FALSE,220,0,0.9,0.01,TRUE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
01/12/2024 2:30,FALSE,,01/12/2024 2:30,29.80374222,0,0,0.2,0,90,,FALSE,220,0,0.9,0.011,TRUE,FALSE,Residential,"10.525053,7.417248",MonoCrystalline,1s2p,10%,1000,1,Lithium - Ion
